Company name,Booth,Website,Website link,Company info
DANFOSS,L1-L30,http://www.hpp.danfoss.com,http://www.hpp.danfoss.com,"Danfoss High Pressure Pumps, part of the Danfoss Group, has a clear mission: to develop, manufacture and market the most energy-efficient high-pressure pumps and energy recovery devices (ERDs) for the reverse osmosis (RO) market. We offer an extensive range of APP pumps and iSave ERDs. Both products are sold for land-based, marine and off-shore use as well as mobile and containerized applications.

Together, Danfoss APP pumps and iSave ERDs deliver the most energy-efficient package available on the market today for both small, medium and large-sized SWRO plants.

For more information please visit www.hpp.danfoss.com"
DANISH TECHNOLOGICAL INSTITUTE,L1-L30,http://-,http://-,"Danish Technological Institute's project 'Water in Urban Areas overall vision is ""to contribute to climate resilient and sustainable cities by value-adding water management"". 

The mission of Water in Urban Areas is to engage all network partners in:

- Develop practical solutions
- Demonstrate and present lighthouses and document
 the effectiveness of solutions
- Increase technological innovation, public innovation and added value
 of blue/green infrastructure
- Increasing the export potential of green technologies for adaptation
 to climate change
- To create a nationwide network that brings together all stakeholders working
 with climate adaptation."
DANISH WATER TECHNOLOGY GROUP (DANISH EXPORT ASSOCIATION),L1-L30,http://dk-water.com,http://dk-water.com,"Danish Water Technology Group is part of Danish Export Association  the largest organizer of export networks in Denmark with +600 member companies.

The network of suppliers in Danish Water Technology Group gives you access to a full range of services within the water industry and is able provide you with system solutions, reducing your time and costs spent on searching for suppliers.

The Danish suppliers operate within all facets of the water industry, whether it is ground water, drinking water, process water, wastewater, urban water issues etc.

Danish Water Technology Group is your entry to the Danish suppliers."
DBE HYTEC,B2-W30,http://www.dbehytec.com,http://www.dbehytec.com,NA
DE NORA,B2-Q02,http://www.denora.com,http://www.denora.com,"De Nora is an Italian multinational leader in sustainable technologies that offers energy saving products and water treatment solutions. Globally De Nora is the pre-eminent provider of electrodes for electrochemical processes (for clients in the Chlorine & Caustic, Electronics & Surface Finishing, Pool Electrochlorination and Specialties sectors) and is among the leaders in technologies and processes for the filtration and disinfection of water (for clients in the industrial, municipal water and wastewater, power and energy, and marine sectors). The Company has grown organically by continuous innovation and externally through major acquisitions in the USA, United Kingdom, Japan, and Italy."
DEEPTREKKER,B2-V22,http://www.deeptrekker.com,http://www.deeptrekker.com,"Deep Trekker Inc. is a Canadian company that builds underwater remotely operated vehicles (ROVs), otherwise known as underwater drones. Their flagship product, the DTG2 ROV is being used in-field around the world on thousands of hydroelectric dams, dive teams, municipalities and more. Using their patented pitching system, Deep Trekker ROVs are able to navigate through the water in all directions using only two thrusters. Deep Trekker offers extremely robust systems while keeping them at an accessible price point."
DELTARES,B2-M32,http://-,http://-,NA
DIEHL METERING,L1-Q30,http://www.diehl.com/metering,http://www.diehl.com/metering,"As manufacturer of water and heat meters and designer of remote radio reading systems, Diehl Metering group is committed to sustainable development. 
With stateoftheart technology and committed collaborators, we contribute to the conservation of our planets resources.

Highly accurate and robust meters is the focus of the Diehl Metering range since the foundation in 1862. Today, Diehl Metering Group supplies a comprehensive range of pioneering meters.
We produce more than 7 million meters and 4.6 million radio modules a year for our international customers in the water, heat, cooling sectors.

The main works of Diehl Metering are located in France and Germany"
DKK-TOA CORPORATION,B2-Q05,http://www.toadkk.co.jp/english/,http://www.toadkk.co.jp/english/,"DKK-TOA has been manufacturing measuring instruments for over 70 years.
Based on our core electrochemical sensor technology, we produced a wide range of products through extensive research and development in environmental protection (water, air, and gas) and in the field of medicine. 
Environmental pollution is expanding beyond borders, while many countries including Japan are facing rapidly aging societies.
We aim to contribute to protecting the world's environment and achieving a social environment that's welcoming for everyone.
It's all part of our motto of Good faith, Creation and Challenge."
DMT ENVIRONMENT TECHNOLOGY,-,http://www.dmt-et.com,http://www.dmt-et.com,"DMT Environmental Technology is a fast growing company. We are market leader in biogas upgrading with membrane technology, and we have delivered continuous Thermal Hydrolysis Processes on sewage sludge. We have 30+ year experience in desulphurization. With these technologies and products we help companies to make a contribution to the environment in a profitable way. With almost 30 years of experience DMT is a reliable partner. With offices in Europe, the United States, Asia and Canada, we are always at your service."
DNR PROCESS SOLUTIONS PTE LTD,B2-L40,http://WWW.DNRPS.COM,http://WWW.DNRPS.COM,"DNR Process Solutions Pte Ltd provides integrated,process automation and IT solutions to Water and Waste Water industries.
DNR is one of the leaders in the design and integration of cutting-edge process automation solutions and state-of-the-art technologies encompassing sensor, automation,information and communication technologies.
Headquartered in Singapore with presence in Malaysia, Indonesia, Thailand, Philippines,Vietnam and India,DNR today supports large-scale and ground- breaking projects around the world.
Partnering with KASPERSKY LAB & j5 INTERNATIONAL, We are proud to present complete Digitalization Solutions for the water and waste water industry showcasing the complete seamlessly integrated Automation (SCADA/PLC/DCS), Industrial Cyber Security, Digitized operations and Maintenance."
DRAEGER SINGAPORE PTE LTD,B2-E11,https://www.draeger.com/en_sea/Water-Treatment,https://www.draeger.com/en_sea/Water-Treatment,"Dräger is an international leader in the fields of medical and safety technology. In safety division, we offer complete hazard management solutions with a focus on personal protection and plant safety. Working in confined spaces with lack of ventilation, hazardous gases and restricted escape options. Handling hazardous substances to produce clean water. Ensuring plant safety operations and planning emergency escape. These are the challenges in your business. Our business is your safety  from gas detection to personal protection equipment and escape devices. Talk to us at our booth and pick up whitepapers on relevant topic in water treatment facilities."
DRAGFLOW,-,http://www.dragflow.it,http://www.dragflow.it,"We produce submersible pumps, dredges and pumping systems."
EASTERN TRADE MEDIA PTE LTD,L1-P38,http://www.iaasiaonline.com,http://www.iaasiaonline.com,"Industrial Automation Asia (IAA) has been serving the region for over 16 years. With 34,000 registered professional we represent a unique opportunity for organisations to tap into the Asian market. Our readership consists of key decision makers that include senior company executives, plant managers, engineering experts, academia, and purchasers. 



We take a strong lead in partnering with, and participating in, many of Asias biggest and most established exhibitions and conferences with an increasing focus on many of Asia's emerging markets. In addition to our print edition, our ebook expands our reach to a global audience."
EBARA ENGINEERING SINGAPORE  PTE LTD,B2-H32,http://www.ebara.com.sg,http://www.ebara.com.sg,Ebara Engineering Singapore is a wholly owned subsidiary of Ebara Corporation Japan and operates under the Fluid Machinery Division and Precision Machinery Division of Ebara Corporation. Fluid Machinery Division supplies the centrifugal pump which contributed highly to the activities here in Singapore. Engineering projects related to water and waste water was also feature in activities under Fluid Machinery Division. Precision Machinery Division manufactures and supplies equipment to the semiconductor water fabrication and other high technology industries. Ebara is a leader in vacuum and CMP technology.
ECOSEN SOLUTIONS,L1-N10,http://-,http://-,NA
EHS DATA,-,http://www.ehsdata.com,http://www.ehsdata.com,"EHS Data produce and supply an Environmental Data Management System named MonitorPro which helps organisations with their environmental data work to be much more effective in complying with permits and legislation. 

They are used extensively in the resource and wast industry world-wide, except Asia. Several environmental governments use this to manage permitted organisations as it will collate data into a central database and is compared with permit limits to flag up any breaches. 

The solution can create analytics of performance and compliance, which can be viewed on dashboards or through reports that can be automatically created and emailed to stakeholders."
EKOVAL,L1-K33,http://-,http://-,"Ekoval is a high-tech Turkish valve manufacturing company with the headquarters located in the capital, Ankara. All the manufacturing processes are carried out with the most advanced technologies and procedures are prepared strictly according to the relevant European standards. 

With the help of our international certifications ISO, CE, WRAS and GOST-R, we are able to reach markets in all 5 continents. We have a very wide range of valves covering water, oil, and gas applications like plumbing, sewage, HVAC, waterworks, fire-fighting, pumps stations, pipeline projects, drinking water lines, irrigation projects etc"
EMAGIN,B2-V22,http://www.emagin.ca ,http://www.emagin.ca ,"EMAGIN provides water and wastewater utilities with an operational intelligence platform to enable smarter management of their critical processes in real-time. The platform leverages artificial intelligence to create real-time actionable insights and recommendations with the objective of reducing energy costs and resource wastages, as well as enhancing public safety and emergency preparedness."
EMEC SRL,-,http://www.emecpumps.com/it,http://www.emecpumps.com/it,"DOSING PUMPS
CONTROL INSTRUMENTS
DISINFECTION SYSTEMS"
ENVAQUA,B2-M32,https://www.envaqua.nl/,https://www.envaqua.nl/,"ENVAQUA connects Dutch technology companies that realize a future-proof, circular economy and is the contact point for questions and challenges of stakeholders. ENVAQUA contributes positively to increasing the earning power and export opportunities of its members and collaborates with its partners to promote innovation and knowledge development. ENVAQUA is the platform for innovative, integrated technological solutions for a future-proof circular economy. As a Dutch trade association for suppliers and producers of environmental and water technology, ENVAQUA represents 125 leading member companies worldwide with a combined turnover of EUR 4.2 billion and 20.000 FTE."
ENVIRONSENS,L1-N10,http://-,http://-,NA
ENVOTHERM A/S,-,http://www.envotherm.com,http://www.envotherm.com,Envotherm produce innovative environmental solutions for recycling industrial waste water.
EPCOR UTILITIES INC,B2-V30,http://www.epcor.ca,http://www.epcor.ca,"EPCORs history began more than 125 years ago in Edmonton, Alberta, and as Canadas first municipally-owned electric utility. Today, through its subsidiaries, EPCOR owns and operates electrical, natural gas and water transmission and distribution networks, water and wastewater treatment facilities, sanitary and stormwater systems, and infrastructure in Canada and the United States. The company also provides electricity, natural gas and water products and services to residential and commercial customers."
ESTRUAGUA WATER TECHNOLOGY,B2-M22,http://WWW.ESTRUAGUA.COM ,http://WWW.ESTRUAGUA.COM ,"Estruagua water techonology, a company with more than 40 years of experience in the manufacture of water treatment equipment such as, penstocks, automatic cable screen, perforated filtering screen, degreaser, degritter, helicoidal compating conveyor, circular decanting bridge, sludge dewatering..."
ESYNERGY DEVELOPMENTS LTD,-,http://www.esynergygroup.co.uk,http://www.esynergygroup.co.uk,"eSynergy is a waste management company specialising in the treatment and recycling of waste electrical and electronic equipment (WEEE) and blown foam construction panels. eSynergy operates a bespoke system for the recycling of commercial refrigeration equipment for the large supermarket chains and wholesalers and blown foam construction panels from construction and demolition companies. The system is the first of its type in the UK/Europe, capable of treating this material through an ‘intrinsically safe’ process required under legislation and utilising best available technique and the first industrial emissions directive approved operator of its type in the UK."
ETATRON D.S. SPA,-,http://www.etatronds.com,http://www.etatronds.com,"Italian leading company specialised in dosing pumps for any kind of water treatment application such as swimming pools, drinking and sewage water, agricultural and greenhouses irrigation, etc. 
Etatron manufacture includeS controller to analysze the presence in the water of the most important chemical and physical parameters as pH, ORP, Tempratura, Conductivity, Chlorine and other chemcial disifectact used in the water treatment."
EVOQUA WATER TECHNOLOGIES,B2-N06,http://www.evoqua.com,http://www.evoqua.com,"Evoquas unparalleled portfolio of proven brands, advanced technologies, mobile and emergency water supply solutions and service helps organizations across the globe provide and discharge clean water, maximizing productivity and profitability.  Learn about how VAF automatic screen filters, Vortisand® high efficiency cross-flow microsand filtration and Memcor® membrane technologies can help solve your water challenges!"
EWTCOI,B2-G08,http://www.np.edu.sg/ewtcoi,http://www.np.edu.sg/ewtcoi,"Eleven years old EWTCOI (Environmental & Water Technology Centre of Innovation) aims to develop innovative ideas and technologies for environmental and water applications. EWTCOI focuses on partnering strategic industry sectors in applied R&D; to translate ideas into practical solutions for a sustainable environment.  EWTCOI specialises in Membrane Technology, Water Technology, Sustainable Materials Technology and Energy Efficiency Technology."
EXCEL MARCO INDUSTRIAL SYSTEMS PTE LTD,B2-J36,http://www.excelmarco.com,http://www.excelmarco.com,"Excel Marco is one of the leading automation solutions providers for Process Automation & Safety System in the oil & gas and water industries. We are established since Year 2000 with our headquarters located in Singapore and branch office in Shanghai.

We also provide numerous package solutions including Integrated Control & Safety System, Emergency Shutdown System, SCADA system, Electrical Monitoring System and Operator Training Simulator.

Our team is committed to delivering high quality, complete turn-key solutions. Our services include FEED, project management, panel design and fabrication, software programming, factory acceptance test, site commissioning, training and site services."
EXCEL PIPES SDN BHD,B2-Q11,http://www.excel pipes.com,http://www.excel pipes.com,"Exclusive ASEAN representative for Farassan Manufacturing Company, one of the largest manufacturer of Glass Reinforced Polymer (GRP) pipes in the world.Farassan manufacturers pipes under Faratec brand,according to international standards,using polyester,vinyl ester or epoxy resins in diameters up to 4000mm,various stiffness classes and pressure up to 50 bar.These pipes are used primarily for water and sewerage transport in industrial settings for transport of a variety of different liquids.We also manufacture GRP non-pressure and pressure jacking pipes from DN 300-3000mm for water and sewerage applications.GRP pipes have numerous advantages over other pipes in their durability,anti corrosion properties and ease of installation."
FEDERAL MINISTRY FOR ECONOMIC AFFAIRS AND ENERGY (BMWI),B2-M02,http://www.bmwi.de,http://www.bmwi.de,The official German Presentation is sponsored by the Federal Ministry for Economic Affairs and Energy (BMWi) in cooperation with the Association for German Trade Fair Industry (AUMA).
FILTERSAFE,L1-J10,http://www.filtersafe.net,http://www.filtersafe.net,"Filtersafe is a multinational company specializing in the supply and evolution of innovative automatic filtration systems for
industry. With over 110 combined years experience in automatic filtration, Filtersafe brings unrivalled economy, value and performance to water filtration.
From improving component technology through to the provision of dedicated pre- and after- sales service, Filtersafe provides a viable, functionally superior and low-cost alternative to the market.

Filtersafe is established as a market leader and it designs, manufactures and supplies a wide range of filtration products for the Industries to perform in the most demanding conditions."
FINETEK PTE LTD,B2-K40,http://www.fine-tek.com,http://www.fine-tek.com,"FineTek Group is the global leader in the manufacture of automation & control systems. Established in 1979, our Company is dedicated in	 providing customers complete instrumentation solutions. 

Through disciplined management & dynamic research & development, we have attained numerous international certifications & approvals to meet the complex needs of the process automation industry.

Our products are used in a broad spectrum of areas - production & control systems, sensor component designs, liquid level controls and electrical power controls. They are also applied widely in many industries  environmental & wastewater, marine & shipbuilding, oil & gas petrochemical, food & agriculture, etc."
FLOTECH CONTROLS PTE LTD,B2-D09,http://www.flotech.com.sg,http://www.flotech.com.sg,"Established in 1982, Flotech Controls Pte Ltd has attained recognition over the years as a reliable and customer-oriented supplier. We are committed to continuously provide industrial measurement solutions, control systems and technical services with the best quality and value according to customers requirements.
 
Over the years, we have established a solid track record in the marine/offshore, water/wastewater, semiconductor, power, oil refining, chemical/petrochemical and pulp/paper industries.
 
Our latest range of products provide innovative solutions to the growing water industry in the areas of water disinfection, instrumentation, IoT-ready valve control and valve maintenance."
FLOWROX OY,-,http://www.flowrox.co,http://www.flowrox.co,"Water filter without use of electrical power able to filter pesticides, medical residues, copper, lead bacteria etc. 
Water whirling nozzles for lime scale prevention and refresh 
Chemical free water softening equipment called AquaKalko
Water whirling technology patent pending
Trademarks: AquaAvanti, AquaKalko, Wirblei, EggyWhirler, Aquawhirler, Prime Inventions
German patents for water whirling"
FLOWSERVE PTE. LTD.,B2-L30,http://www.flowserve.com,http://www.flowserve.com,"Flowserve manufactures and services fluid motion control solutions for the world's toughest, most critical applications. We offer the world's most complete line of products and systems for water applications along with a full menue of technical and service support. Our global team of more than 18,000 employees in 55 countries can put together the total solution—from project planning to lifecycle maintenance programs to some of the most proven technology on the planet. All so you can get more from your capital investment. Exceed your operational goals. And always come through, when failure is not an option."
FLUENCE CORPORATION,B2-P32,http://www.fluencecorp.com,http://www.fluencecorp.com,"Fluence specializes in design, manufacturing and implementation of local, sustainable water sourcing, wastewater treatment and water reuse solutions, empowering businesses and communities to benefit from their water resources.
Fluence offers an integrated range of products and services across the complete water cycle, from early stage evaluation, through design and delivery to ongoing support and optimization of water / wastewater related assets. With operations in  Americas, Middle East, Europe and Asia, Fluence expands into Chinas rural wastewater treatment market. 
Fluence (ASX: FLC) earned Frost & Sullivans 2018 Global Company of the Year Award in the decentralized water and wastewater treatment industry."
FLUID EQUIPMENT DEVELOPMENT COMPANY - FEDCO,L1-Q35,http://www.fedco-usa.com,http://www.fedco-usa.com,"Fluid Equipment Development Company (FEDCO) is committed to being the industry leader in the design and manufacture of innovative fluid machinery. Our centrifugal pumps and turbocharger energy recovery devices (ERD) for seawater and brackish water reverse osmosis desalination service are unmatched in quality and performance.  Every FEDCO product is custom-designed and manufactured to achieve the highest possible efficiency.  

Engineering firms, OEMs and end users partner with us for lower life cycle costs, quick delivery, and world class service. Meet with us to see how we can reduce your total cost of water.  FEDCO is making fluid energy work for you™."
FLUYTEC FILTRATION TECHNOLOGIES,B2-M22,http://www.fluytec.com,http://www.fluytec.com,"Spanish Engineering and Manufacturing of Filtration Solutions with more than 35 years of experience and more than 20 million m3/day installed globally.

We are specialized in RO Pretreatment Filtration and complementary products with a strong dedication to Research and Development of new solutions. 

Fluytec has developed a wide product range that covers a complete filtration spectrum from Macrofiltration to Ultrafiltration.

All our housings are available in different materials: FRP/ PVC/ Stainless Steel, CSRL.

This complete solution range make us the ideal partner for any design requirement, be it conventional or membrane type."
FTS (FOREST TECHNOLOGY SYSTEM),B2-W30,http://www.ftsinc.com,http://www.ftsinc.com,"FTS began in 1980 with a focus on the fire weather meteorological niche. Since then, FTS has become a leading designer, developer, manufacturer and servicer of remote environmental monitoring solutions, instrumentation, telemetry and software for the hydrology, fire weather, meteorology, and utility industries.  With over 3000 sites transmitting globally, FTS serves North, Central and South America, Australia, and a number Asian countries.

FTS’s geographical expansion is currently focused on ASEAN countries.  We have developed an affordable Internet of Things platform including hardware, cloud software and mobile applications to serve public and private clients who are looking to build technical resilience and mobilize data at near real time and massive scale."
GEA SINGAPORE,B2-Q16,http://www.gea.com,http://www.gea.com,"GEA  engineering for a better world

GEA is one of the largest suppliers of process technology for the food industry and a wide range of other industries. The international technology group focuses on process technology and components for sophisticated production processes in various end-user markets.

GEA is a market and technology leader in its business areas. The company is listed on the German MDAX stock index (G1A, WKN 660 200) and included in the STOXX® Europe 600 Index. In addition, the company is listed in selected MSCI Global Sustainability Indexes."
GEORGE FISCHER PTE LTD,B2-H30,http://www.gfps.com/sg,http://www.gfps.com/sg,"GF Piping Systems is one of the three divisions within Georg Fischer Corporation and a leading provider of plastic and metal piping systems with global market presence. The product portfolio includes pipes, fittings, valves and the corresponding automation and jointing technology for industry, building technology as well as water and gas utilities. With its intelligent complete systems, trendsetting products and technologies, GF Piping Systems is setting global standards in quality and performance. In project planning and implementation, GF Piping Systems convinces by application orientation and by responding to individual customer needs."
GLASGOW UNIVERSITY,L1-P18,http://-,http://-,NA
GLOBAL WATER ENGINEERING,B2-U12,http://-,http://-,NA
GLOBAL WATER INTELLIGENCE,L1-Q46,http://-,http://-,"Global Water Intelligence publishes newsletters and reports providing analysis and strategic data on the international water market. Its flagship publication, the monthly industry journal Global Water Intelligence (GWI), has established itself as the market-leading publication for developers, suppliers, financiers, governments, utilities and municipalities seeking information and analysis on water projects with an element of private sector participation. If you want to find out more about GWI products visit www.globalwaterintel.com. You can sign-up for a free trial of Global Water Intelligence, Water Desalination Report or DesalData.com and read executive summaries of our latest reports."
GOVERNMENT OF CANADA,B2-W22,http://www.singapore.gc.ca,http://www.singapore.gc.ca,"The Canadian Trade Commissioner Service (TCS) helps Canadian companies navigate the complexities of international markets and make better business decisions. We gain market intelligence, uncover opportunities for Canadian companies and help reduce business costs and risks. The TCS is a free service of the Government of Canada, helping companies to prepare for international markets, assess market potential, find qualified contacts and resolve business problems. More than 20 Canadian companies will participate in City Solutions, showcasing innovative water technologies and services. For more information please contact: Ms. Caroline Mourand, Trade Commissioner, High Commission of Canada in Singapore at caroline.mourand@international.gc.ca"
GPA ENGINEERING CORPORATION PTE LTD,B2-G25,http://www.gpaengrg.com,http://www.gpaengrg.com,"GPA established many years back by a few pump professionals that possess great passion in designing pump and pumping system. Today, other than developing our very own GPA Pumps, we are also the main distributor of italian made products such as VARISCO PUMPS and SAER ELETTROPOMPE. We are also the agent for AFFETTI Pumps.

We provide sales and after-sales services for our specialized pumps being used in the Industrial, Construction, Water Treatment, HVAC, Power Plant, Oil and Gas Industry, throughout Singapore and Asia Pacific region. Today, we are considered as one of the major pumps specialist in this region."
"GREATER NEW ORLEANS, INC",L1-Q33,http://www.gnoinc.org,http://www.gnoinc.org,"Greater New Orleans, Inc. is a regional economic development alliance serving Southeast Louisiana. Their mission is to serve as the catalyst for wealth creation by pursuing an aggressive agenda of business development - marketing the region - and product development - improving regional business conditions - through policy, workforce, and research initiatives. Water management is a target industry for the region; it is growing rapidly, with an emerging cluster of businesses that export products and services throughout the world.  Southeast Louisiana is poised to become a global hub of businesses that help companies profitably manage water issues and challenges."
"GUANGZHOU QILI ENVIRONMENTAL EQUIPMENT CO., LTD",B2-S33,http://www.qlozone.com,http://www.qlozone.com,"Guangzhou Qili Environmental Equipment Co, Ltd is a high-tech enterprise located in Guangzhou City China, dedicating in ozone equipment research & development, production and sales We have a wealth of experience in commercial kitchen oil and odor removal, aquaculture, food processing, cosmetics, HAVC system waste water treatment, drinking water, beverage treatment with ozone equipment We provide high-quality ozone generator together with completely solutions in order to create more competing opportunities for our customer Our main products are industrial ozone generator, commercial kitchen ozone generator, ozonated water system, industrial oxygen generator, ozone oxygen meter, mixing pump and venturi Injector etc."
HACH AND TROJAN,B2-T20,http://-,http://-,"Hach provides innovations to support customers for more than 70 years. Hach gives customers confidence in water analysis by delivering expert answers, outstanding support, reliable, easy-to-use solutions. Hachs analytical instruments, services, software, and reagents are used to ensure quality of water in variety of industries more than 100 countries globally.

Trojan Technologies group of businesses offers products under the brands Aquafine, Salsnes Filter, Trojan Marinex, TrojanUV, USP Technologies and VIQUA.   Providing eco-efficient solutions that reduce and recover costs, energy, resources and space. Ensuring greater water confidence for people, industries and municipalities, improving the lives of over one billion people globally."
"HANGZHOU DEEFINE FILTRATION TECHNOLOGY CO, LTD",B2-J07,http://www.deefinefilter com,http://www.deefinefilter com,"Hangzhou Deefine Filtration Technology Co, Ltd is a professional filtration company in Chinawho focus on developing, manufacturing and marketing of filtration products and system.We have several automatic product lines for the manufacture of pleated microporousmembrane filter cartridges such as PP, PES, PTFE, PVDF, Nylon66 and so on, which are widelyapplied in various industries"
HANNA INSTRUMENTS (S) PTE LTD,B2-K36,http://www.hannasingapore.com,http://www.hannasingapore.com,"Hanna Instruments is the largest independent manufacturer of electrochemistry products in the world. These products include meters for the measurement of pH, conductivity, total dissolved solids, dissolved oxygen, temperature, humidity, colorimeters for a host of specific ions, Automatic potentiometric and Karl Fisher Titration System . As an innovator with many firsts, including the first microprocessor-based handheld pH meter, we believe in controlling the quality of our products from inception to delivery. To ensure the highest quality we remain a vertically integrated manufacturer by not subcontracting any part of the manufacturing process."
"HARBIN FIRSTLINE ENVIRONMENT TECHNOLOGY CO.,LTD",B2-K13,http://www.firstline.com.cn,http://www.firstline.com.cn,"Firstline is a leading FRP pressure vessel and cartridge housing manufacturer with over 50 years of combined experience in innovative FRP pressure vessel engineering knowhow. Our first class quality FRP pressure vessels and cartridge housings are widely used in Oil & Gas, Power Generation, Electronics, Food & Beverage, Pharma and Municipal sectors for desalination, water and wastewater treatment applications across the world with an installed base over 300,000 pressure vessels delivered worldwide.
Our extensive product portfolio are built to maximize RO membrane systems performance that guarantees to achieve a long-term operations with minimal downtime by benefiting from our experience.
www.firstline.com.cn"
"HARBIN ROPV INDUSTRIAL CO., LTD",B2-N02,http://-,http://-,"ROPV is the largest pressure vessel manufacturer in the Asia/Pacific region. ROPV has emerged as a world class manufacturing company-while strengthening our local presence and enabling ROPV to be a global provider of leading edge technologies in the water treatment industry. ROPV offers a full line of pressure vessels ranging from 2.5 to 18, covering all major industry system and application requirements with a maximum operating pressure of up to 1200 psi with multiple side port configurations up to 4. ROPV has successfully developed numerous original equipment configuration with various industry partners."
HARSONIC PERMANENT BIOFILM REMOVAL,-,http://www.harsonic.com,http://www.harsonic.com,"Harsonic is the brand name for a mechanical device to remove biofilm inside pipelines, mainly drinkingwater lines for breeders, such as chicken-broilers.  The device is a combination of 2 technologies , ultrasound and the HS technology.  It registers power interruptions and is patented. 
We are also active  in maritime and industry but our main focus in now on  agriculture ."
HAUS MAKINA SANAYI TICARET ANONIM SIRKETI,B2-Q38,http://www.haus.com.tr,http://www.haus.com.tr,"HAUS Centrifuge Technologies provides decanter centrifuges, disc stack separators, turbo blowers, screw presses and auxiliary equipment for environmental, industrial and food applications."
"HEBEI CREATE INSTRUMENTATION TECHNOLOGIES CO., LTD",B2-M30,http://www.createc.cn,http://www.createc.cn,"Hebei Create Instrumentation Technologies Co., Ltd. is a professional  manufacturer of online water treatment instruments .The flagship products are industrial online conductivity/resisitivity, pH/ORP, Reverse Osmosis Controller, paddle wheel flow meter, electromagnetic flow meter, free chlorine system, DO controller, turbidity analyzer, online COD, Ammonia Nitrogen, Total Phosphorus?Total Nitrogen? multi-parameters water quality monitoring system integration and all kinds of sensors, which are widely used in water/wastewater treatment plant, desalination plant, reverse osmosis system, pure/ultrapure water systems ect."
"HEBEI HONGBANG VALVE CO.,LTD",B2-S35,http://www.okv-valve.com,http://www.okv-valve.com,"Hebei Hongbang Valve Co., Ltd. is a research, development, design, production, sales and service as one large valve business. The company is located in Hebei Province NINGJIN haozhuang industrial zone. The company occupies 20,000 square meters, registered capital of $ 6,500,000, set casting, machining, surface treatment of industrial valve business. The company mainly produces butterfly valves, check valves, gate valves, filters and nonstandard valves, which are widely used in electric power, chemical, petroleum, metallurgy, oil refining, pharmaceuticals, oil and gas pipelines, urban and othe.."
HELLERMANNTYTON PTE LTD,L1-K24,http://www.HellermannTyton.sg,http://www.HellermannTyton.sg,"HellermannTyton is a leading manufacturer and supplier of products for fastening, fixing, installing, connecting, insulating, protecting and identifying electrical cables and data network infrastructure. We develop parts for customer-specific industrial applications.
It is our mission to develop effective solutions for all cable management requirements. In order to live up to this goal, we get to grips with everything that goes on in the world of our customers. And they are our main inspiration when we develop our product ranges.
Our global brand is trusted by industry professionals around the world offer you first-class service and advice  wherever you need it."
HEMERA,-,http://www.hemera.fr,http://www.hemera.fr,"Hemera manufactures high-end liquid and gas online analyzers using UV spectroscopy technology.
“Hemera” is our trademark.
We manufacture, calibrate and do support of our analyzers in our lab in France."
HFILTRATION,-,http://www.hfiltration.it,http://www.hfiltration.it,"HFiltration manufactures air dedusting and filtering systems for environmental preservation in several industrial sectors. The company offers a complete range of products and services that focuses on air quality in work environments by taking advantages from different technologies and oriented to the energy saving. Some of our air filtration solutions are: EPC, dust collectors, mist collectors, cartridge filters, centrifugal filters, bag filters, hydrodynamic filters, activated carbon, RTO and scrubbers."
HONG HOCK GLOBAL PTE LTD,B2-K35,http://-,http://-,NA
HORIBA INSTRUMENTS (SINGAPORE) PTE LTD,B2-T22,http://www.horiba.com/sg,http://www.horiba.com/sg,"HORIBA manufactures Automotive emission measurement systems, Process & Environmental measuring instruments, wide range of Scientific analyzers, and Medical diagnostic analyzers, and measuring equipment used in the Semi-conductor industry. 

In the context of SIWW, HORIBA has analytical solutions from Service Water to Process & Wastewater Monitoring applications, parameter includes pH, ORP, Conductivity, Resistivity, Dissolved Oxygen, Fluoride, Residual Chlorine, Ammonia, MLSS, Turbidity, COD, Oil Content, Total Nitrogen / Phosphorus.

From Design through Engineering / Integration into Turnkey systems, including Start-up and Training, HORIBA is not only a sole-source manufacturer but also solution provider for monitoring in the areas of Water, Ambient Air and"
HSL CONSTRUCTOR PTE LTD,B2-D20,https://hsl.com.sg,https://hsl.com.sg,"HSL is an international construction company that consciously chooses to focus on delivering high quality and impactful social and economic infrastructures. These include water, energy, marine and transportation projects that improve the communities we live in, the environment we share and the prosperity of our economies.

Over the past quarter century, HSL has developed deep engineering and construction capabilities; designed and modified many built-for-purpose equipment for unique construction; and amassed an impressive track record and know-how.

Together, we believe we can build a greater HSL for a better world!"
"HUZHOU HENGXIN FILTER TECHNOLOGY CO.,LTD",B2-H10,http://www.hxplastics.com,http://www.hxplastics.com,"HuZhou Hengxin Filter Technology  Co.,Ltd was found in 1995, is the professional manufacturer of water treatment products, have got more than 40 patent certifications. The main products: IPUF film membrane, water distributors, accessories of FRP tanks, filter nozzles, UPVC cartridge filter housings (3/5/8/9 rounds), bag filter housings(1#/2#),FRP cartridge filter housing(18 rounds). PALL filter housings, TBF tubular backwashing filters, and high flow PVC sonic-welded screen water distributors.With our good quality, profession & innovation products, excellent service, we warmly welcome your presence and patronage."
